"state","candidate","delegates","scenario"
"nevada","trump",13.77,"proportional"
"alabama","trump",21.7,"proportional"
"alaska","trump",9.38,"proportional"
"arkansas","trump",13.12,"proportional"
"georgia","trump",29.488,"proportional"
"massachusetts","trump",20.706,"proportional"
"minnesota","trump",8.094,"proportional"
"oklahoma","trump",12.169,"proportional"
"tennessee","trump",22.562,"proportional"
"texas","trump",41.385,"proportional"
"vermont","trump",5.232,"proportional"
"virginia","trump",17.003,"proportional"
"colorado","trump",0,"proportional"
"kansas","trump",9.32,"proportional"
"kentucky","trump",16.514,"proportional"
"louisiana","trump",19.044,"proportional"
"maine","trump",7.498,"proportional"
"puerto rico","trump",3.128,"proportional"
"hawaii","trump",8.056,"proportional"
"idaho","trump",8.992,"proportional"
"michigan","trump",21.535,"proportional"
"mississippi","trump",18.92,"proportional"
"virgin islands","trump",0,"proportional"
"wyoming","trump",2.088,"proportional"
"guam","trump",0,"proportional"
"district of columbia","trump",2.622,"proportional"
"florida","trump",45.243,"proportional"
"illinois","trump",26.427,"proportional"
"missouri","trump",21.268,"proportional"
"north carolina","trump",28.944,"proportional"
"northern marianas","trump",6.552,"proportional"
"ohio","trump",23.496,"proportional"
"american samoa","trump",0,"proportional"
"arizona","trump",27.318,"proportional"
"utah","trump",5.6,"proportional"
"north dakota","trump",0,"proportional"
"wisconsin","trump",14.74,"proportional"
"new york","trump",57,"proportional"
"connecticut","trump",16,"proportional"
"delaware","trump",10,"proportional"
"maryland","trump",21,"proportional"
"pennsylvania","trump",40,"proportional"
"rhode island","trump",12,"proportional"
"indiana","trump",30,"proportional"
"nebraska","trump",0,"proportional"
"west virginia","trump",0,"proportional"
"oregon","trump",0,"proportional"
"washington","trump",0,"proportional"
"california","trump",0,"proportional"
"montana","trump",0,"proportional"
"new jersey","trump",0,"proportional"
"new mexico","trump",0,"proportional"
"south dakota","trump",0,"proportional"
"iowa","cruz",8.28,"proportional"
"new hampshire","cruz",2.691,"proportional"
"south carolina","cruz",11.15,"proportional"
"nevada","cruz",8.28,"proportional"
"alabama","cruz",10.55,"proportional"
"alaska","cruz",10.192,"proportional"
"arkansas","cruz",12.2,"proportional"
"georgia","cruz",17.936,"proportional"
"massachusetts","cruz",4.032,"proportional"
"minnesota","cruz",11.02,"proportional"
"oklahoma","cruz",14.792,"proportional"
"tennessee","cruz",14.326,"proportional"
"texas","cruz",67.89,"proportional"
"vermont","cruz",1.552,"proportional"
"virginia","cruz",8.281,"proportional"
"colorado","cruz",0,"proportional"
"kansas","cruz",19.28,"proportional"
"kentucky","cruz",14.536,"proportional"
"louisiana","cruz",17.388,"proportional"
"maine","cruz",10.557,"proportional"
"puerto rico","cruz",2.07,"proportional"
"hawaii","cruz",6.213,"proportional"
"idaho","cruz",14.528,"proportional"
"michigan","cruz",14.691,"proportional"
"mississippi","cruz",14.52,"proportional"
"virgin islands","cruz",0,"proportional"
"wyoming","cruz",19.227,"proportional"
"guam","cruz",0,"proportional"
"district of columbia","cruz",2.356,"proportional"
"florida","cruz",16.929,"proportional"
"illinois","cruz",20.907,"proportional"
"missouri","cruz",21.164,"proportional"
"north carolina","cruz",26.496,"proportional"
"northern marianas","cruz",2.16,"proportional"
"ohio","cruz",8.646,"proportional"
"american samoa","cruz",0,"proportional"
"arizona","cruz",14.442,"proportional"
"utah","cruz",27.68,"proportional"
"north dakota","cruz",0,"proportional"
"wisconsin","cruz",20.24,"proportional"
"new york","cruz",14,"proportional"
"connecticut","cruz",3,"proportional"
"delaware","cruz",3,"proportional"
"maryland","cruz",7,"proportional"
"pennsylvania","cruz",15,"proportional"
"rhode island","cruz",2,"proportional"
"indiana","cruz",21,"proportional"
"nebraska","cruz",0,"proportional"
"west virginia","cruz",0,"proportional"
"oregon","cruz",0,"proportional"
"washington","cruz",0,"proportional"
"california","cruz",0,"proportional"
"montana","cruz",0,"proportional"
"new jersey","cruz",0,"proportional"
"new mexico","cruz",0,"proportional"
"south dakota","cruz",0,"proportional"
"iowa","kasich",0.57,"proportional"
"new hampshire","kasich",3.634,"proportional"
"south carolina","kasich",3.8,"proportional"
"nevada","kasich",0.57,"proportional"
"alabama","kasich",2.2,"proportional"
"alaska","kasich",1.148,"proportional"
"arkansas","kasich",1.48,"proportional"
"georgia","kasich",4.256,"proportional"
"massachusetts","kasich",7.56,"proportional"
"minnesota","kasich",2.204,"proportional"
"oklahoma","kasich",1.548,"proportional"
"tennessee","kasich",3.074,"proportional"
"texas","kasich",6.51,"proportional"
"vermont","kasich",4.864,"proportional"
"virginia","kasich",4.606,"proportional"
"colorado","kasich",0,"proportional"
"kansas","kasich",4.28,"proportional"
"kentucky","kasich",6.624,"proportional"
"louisiana","kasich",2.944,"proportional"
"maine","kasich",2.806,"proportional"
"puerto rico","kasich",0.322,"proportional"
"hawaii","kasich",2.014,"proportional"
"idaho","kasich",2.368,"proportional"
"michigan","kasich",14.337,"proportional"
"mississippi","kasich",3.52,"proportional"
"virgin islands","kasich",0,"proportional"
"wyoming","kasich",0,"proportional"
"guam","kasich",0,"proportional"
"district of columbia","kasich",6.745,"proportional"
"florida","kasich",6.732,"proportional"
"illinois","kasich",13.593,"proportional"
"missouri","kasich",5.148,"proportional"
"north carolina","kasich",9.144,"proportional"
"northern marianas","kasich",0.189,"proportional"
"ohio","kasich",30.888,"proportional"
"american samoa","kasich",0,"proportional"
"arizona","kasich",5.8,"proportional"
"utah","kasich",6.72,"proportional"
"north dakota","kasich",0,"proportional"
"wisconsin","kasich",5.92,"proportional"
"new york","kasich",24,"proportional"
"connecticut","kasich",8,"proportional"
"delaware","kasich",3,"proportional"
"maryland","kasich",9,"proportional"
"pennsylvania","kasich",14,"proportional"
"rhode island","kasich",5,"proportional"
"indiana","kasich",4,"proportional"
"nebraska","kasich",0,"proportional"
"west virginia","kasich",0,"proportional"
"oregon","kasich",0,"proportional"
"washington","kasich",0,"proportional"
"california","kasich",0,"proportional"
"montana","kasich",0,"proportional"
"new jersey","kasich",0,"proportional"
"new mexico","kasich",0,"proportional"
"south dakota","kasich",0,"proportional"
"iowa","trump",0,"wta"
"new hampshire","trump",23,"wta"
"south carolina","trump",50,"wta"
"nevada","trump",30,"wta"
"alabama","trump",50,"wta"
"alaska","trump",0,"wta"
"arkansas","trump",40,"wta"
"georgia","trump",76,"wta"
"massachusetts","trump",42,"wta"
"minnesota","trump",0,"wta"
"oklahoma","trump",0,"wta"
"tennessee","trump",58,"wta"
"texas","trump",0,"wta"
"vermont","trump",16,"wta"
"virginia","trump",49,"wta"
"colorado","trump",0,"wta"
"kansas","trump",0,"wta"
"kentucky","trump",46,"wta"
"louisiana","trump",46,"wta"
"maine","trump",0,"wta"
"puerto rico","trump",0,"wta"
"hawaii","trump",19,"wta"
"idaho","trump",0,"wta"
"michigan","trump",59,"wta"
"mississippi","trump",40,"wta"
"virgin islands","trump",0,"wta"
"wyoming","trump",0,"wta"
"guam","trump",0,"wta"
"district of columbia","trump",0,"wta"
"florida","trump",99,"wta"
"illinois","trump",69,"wta"
"missouri","trump",52,"wta"
"north carolina","trump",72,"wta"
"northern marianas","trump",9,"wta"
"ohio","trump",0,"wta"
"american samoa","trump",0,"wta"
"arizona","trump",58,"wta"
"utah","trump",0,"wta"
"north dakota","trump",0,"wta"
"wisconsin","trump",0,"wta"
"new york","trump",95,"wta"
"connecticut","trump",28,"wta"
"delaware","trump",16,"wta"
"maryland","trump",38,"wta"
"pennsylvania","trump",71,"wta"
"rhode island","trump",19,"wta"
"indiana","trump",57,"wta"
"nebraska","trump",0,"wta"
"west virginia","trump",0,"wta"
"oregon","trump",0,"wta"
"washington","trump",0,"wta"
"california","trump",0,"wta"
"montana","trump",0,"wta"
"new jersey","trump",0,"wta"
"new mexico","trump",0,"wta"
"south dakota","trump",0,"wta"
"iowa","cruz",30,"wta"
"new hampshire","cruz",0,"wta"
"south carolina","cruz",0,"wta"
"nevada","cruz",0,"wta"
"alabama","cruz",0,"wta"
"alaska","cruz",28,"wta"
"arkansas","cruz",0,"wta"
"georgia","cruz",0,"wta"
"massachusetts","cruz",0,"wta"
"minnesota","cruz",38,"wta"
"oklahoma","cruz",43,"wta"
"tennessee","cruz",0,"wta"
"texas","cruz",155,"wta"
"vermont","cruz",0,"wta"
"virginia","cruz",0,"wta"
"colorado","cruz",0,"wta"
"kansas","cruz",40,"wta"
"kentucky","cruz",0,"wta"
"louisiana","cruz",0,"wta"
"maine","cruz",23,"wta"
"puerto rico","cruz",0,"wta"
"hawaii","cruz",0,"wta"
"idaho","cruz",32,"wta"
"michigan","cruz",0,"wta"
"mississippi","cruz",0,"wta"
"virgin islands","cruz",0,"wta"
"wyoming","cruz",29,"wta"
"guam","cruz",0,"wta"
"district of columbia","cruz",0,"wta"
"florida","cruz",0,"wta"
"illinois","cruz",0,"wta"
"missouri","cruz",0,"wta"
"north carolina","cruz",0,"wta"
"northern marianas","cruz",0,"wta"
"ohio","cruz",0,"wta"
"american samoa","cruz",0,"wta"
"arizona","cruz",0,"wta"
"utah","cruz",40,"wta"
"north dakota","cruz",0,"wta"
"wisconsin","cruz",42,"wta"
"new york","cruz",0,"wta"
"connecticut","cruz",0,"wta"
"delaware","cruz",0,"wta"
"maryland","cruz",0,"wta"
"pennsylvania","cruz",0,"wta"
"rhode island","cruz",0,"wta"
"indiana","cruz",0,"wta"
"nebraska","cruz",0,"wta"
"west virginia","cruz",0,"wta"
"oregon","cruz",0,"wta"
"washington","cruz",0,"wta"
"california","cruz",0,"wta"
"montana","cruz",0,"wta"
"new jersey","cruz",0,"wta"
"new mexico","cruz",0,"wta"
"south dakota","cruz",0,"wta"
"iowa","kasich",0,"wta"
"new hampshire","kasich",0,"wta"
"south carolina","kasich",0,"wta"
"nevada","kasich",0,"wta"
"alabama","kasich",0,"wta"
"alaska","kasich",0,"wta"
"arkansas","kasich",0,"wta"
"georgia","kasich",0,"wta"
"massachusetts","kasich",0,"wta"
"minnesota","kasich",0,"wta"
"oklahoma","kasich",0,"wta"
"tennessee","kasich",0,"wta"
"texas","kasich",0,"wta"
"vermont","kasich",0,"wta"
"virginia","kasich",0,"wta"
"colorado","kasich",0,"wta"
"kansas","kasich",0,"wta"
"kentucky","kasich",0,"wta"
"louisiana","kasich",0,"wta"
"maine","kasich",0,"wta"
"puerto rico","kasich",0,"wta"
"hawaii","kasich",0,"wta"
"idaho","kasich",0,"wta"
"michigan","kasich",0,"wta"
"mississippi","kasich",0,"wta"
"virgin islands","kasich",0,"wta"
"wyoming","kasich",0,"wta"
"guam","kasich",0,"wta"
"district of columbia","kasich",19,"wta"
"florida","kasich",0,"wta"
"illinois","kasich",0,"wta"
"missouri","kasich",0,"wta"
"north carolina","kasich",0,"wta"
"northern marianas","kasich",0,"wta"
"ohio","kasich",66,"wta"
"american samoa","kasich",0,"wta"
"arizona","kasich",0,"wta"
"utah","kasich",0,"wta"
"north dakota","kasich",0,"wta"
"wisconsin","kasich",0,"wta"
"new york","kasich",0,"wta"
"connecticut","kasich",0,"wta"
"delaware","kasich",0,"wta"
"maryland","kasich",0,"wta"
"pennsylvania","kasich",0,"wta"
"rhode island","kasich",0,"wta"
"indiana","kasich",0,"wta"
"nebraska","kasich",0,"wta"
"west virginia","kasich",0,"wta"
"oregon","kasich",0,"wta"
"washington","kasich",0,"wta"
"california","kasich",0,"wta"
"montana","kasich",0,"wta"
"new jersey","kasich",0,"wta"
"new mexico","kasich",0,"wta"
"south dakota","kasich",0,"wta"
